danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,clusters_id
0.83,0.78,5,-4.298,1,0.0334,0.154,0.3,0.31,0.959,159.8,audio_features,1HwDNMcsD0XC6VXvvptdXq,spotify:track:1HwDNMcsD0XC6VXvvptdXq,https://api.spotify.com/v1/tracks/1HwDNMcsD0XC6VXvvptdXq,https://api.spotify.com/v1/audio-analysis/1HwDNMcsD0XC6VXvvptdXq,36000,4,6
0.504,0.0615,7,-12.092,1,0.0668,0.801,0.779,0.0422,0.334,157.888,audio_features,4rJbK6vMdh3cw7UcjvKA67,spotify:track:4rJbK6vMdh3cw7UcjvKA67,https://api.spotify.com/v1/tracks/4rJbK6vMdh3cw7UcjvKA67,https://api.spotify.com/v1/audio-analysis/4rJbK6vMdh3cw7UcjvKA67,163368,3,7
0.816,0.894,6,-9.243,1,0.0817,0.0226,7.23e-05,0.331,0.968,99.995,audio_features,3z2aHQwr9MJ5g7DA19tpha,spotify:track:3z2aHQwr9MJ5g7DA19tpha,https://api.spotify.com/v1/tracks/3z2aHQwr9MJ5g7DA19tpha,https://api.spotify.com/v1/audio-analysis/3z2aHQwr9MJ5g7DA19tpha,222920,4,6
0.505,0.917,3,-4.435,1,0.164,0.00293,0.00396,0.204,0.39,124.953,audio_features,4LimlSNYAlc5TMCi32Yuy8,spotify:track:4LimlSNYAlc5TMCi32Yuy8,https://api.spotify.com/v1/tracks/4LimlSNYAlc5TMCi32Yuy8,https://api.spotify.com/v1/audio-analysis/4LimlSNYAlc5TMCi32Yuy8,204517,4,0
0.41,0.943,8,-6.991,1,0.0456,2.51e-05,0.00319,0.207,0.675,133.513,audio_features,0GMnES4HiZpPOAham6DiH9,spotify:track:0GMnES4HiZpPOAham6DiH9,https://api.spotify.com/v1/tracks/0GMnES4HiZpPOAham6DiH9,https://api.spotify.com/v1/audio-analysis/0GMnES4HiZpPOAham6DiH9,262773,4,0
0.461,0.168,11,-16.225,0,0.042,0.449,0.886,0.265,0.309,169.675,audio_features,3iYermCTDOt4YfeCqf3sIn,spotify:track:3iYermCTDOt4YfeCqf3sIn,https://api.spotify.com/v1/tracks/3iYermCTDOt4YfeCqf3sIn,https://api.spotify.com/v1/audio-analysis/3iYermCTDOt4YfeCqf3sIn,422464,4,5
0.621,0.873,5,-3.067,0,0.0369,0.0406,9.1e-06,0.0824,0.873,97.96,audio_features,5hM5arv9KDbCHS0k9uqwjr,spotify:track:5hM5arv9KDbCHS0k9uqwjr,https://api.spotify.com/v1/tracks/5hM5arv9KDbCHS0k9uqwjr,https://api.spotify.com/v1/audio-analysis/5hM5arv9KDbCHS0k9uqwjr,237800,4,2
0.634,0.838,2,-5.363,1,0.0413,0.0531,8.34e-06,0.0522,0.541,95.011,audio_features,79LdvxXi5JYUjhnO7v9Fi3,spotify:track:79LdvxXi5JYUjhnO7v9Fi3,https://api.spotify.com/v1/tracks/79LdvxXi5JYUjhnO7v9Fi3,https://api.spotify.com/v1/audio-analysis/79LdvxXi5JYUjhnO7v9Fi3,237320,4,6
0.696,0.758,4,-6.076,1,0.0264,0.17,3.33e-05,0.189,0.859,129.943,audio_features,3b1IQflSLrgzYQPGFzI9cl,spotify:track:3b1IQflSLrgzYQPGFzI9cl,https://api.spotify.com/v1/tracks/3b1IQflSLrgzYQPGFzI9cl,https://api.spotify.com/v1/audio-analysis/3b1IQflSLrgzYQPGFzI9cl,250693,4,6
0.752,0.529,1,-5.842,0,0.369,0.31,0.0,0.0875,0.643,89.249,audio_features,71oz9Wgbrm873aMlVBrDKR,spotify:track:71oz9Wgbrm873aMlVBrDKR,https://api.spotify.com/v1/tracks/71oz9Wgbrm873aMlVBrDKR,https://api.spotify.com/v1/audio-analysis/71oz9Wgbrm873aMlVBrDKR,198253,4,4
